Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049844;0;0;0;h81AE;h26;1;1;1;0
-0,00049843;0;0;0;h81AE;h26;1;1;1;0
-0,00049842;0;0;0;h81AE;h26;1;1;1;0
-0,00049841;0;0;1;h81AE;h26;1;1;1;0
-0,0004984;1;0;1;h81AE;h26;1;1;0;0
-0,00049839;1;0;1;h81AE;h26;1;1;0;0
-0,00049838;1;0;1;h81AE;h26;1;1;0;0
-0,00049837;0;0;1;h81AE;h26;1;1;0;0
-0,00049836;0;0;1;h81AE;h26;1;1;0;0
-0,0004983500000000001;0;0;1;h81AE;h26;1;1;0;0
-0,00049834;0;0;1;h81AE;h26;1;1;0;0
-0,00049833;0;1;1;h81AE;h26;1;1;0;0
-0,00049832;1;1;1;h81AE;h26;1;1;0;0
-0,00049831;1;1;1;h81AE;h26;1;1;0;0
-0,0004983;1;1;1;h81AE;h26;1;1;0;0
-0,00049829;0;1;1;h81AE;h26;1;1;0;0
-0,00049828;0;1;1;h81AE;h26;1;1;0;0
-0,00049827;0;1;1;h81AE;h26;1;1;0;0
-0,00049826;0;1;1;h81AE;h26;1;1;0;0
-0,00049825;0;1;0;h81AE;h26;1;1;0;0
-0,0004982399999999999;1;1;0;h81AE;h26;1;1;0;0
-0,00049823;1;1;0;h81AE;h26;1;1;0;0
-0,00049822;1;1;0;h81AE;h26;1;1;0;0
-0,00049821;0;1;0;h81AE;h26;1;1;0;1
-0,0004982;0;1;0;h81AE;h26;1;1;1;1
-0,00049819;0;1;0;h81AE;h26;1;1;1;1
-0,00049818;0;1;0;h81AF;hC8;1;1;1;1
-0,00049817;0;0;0;h81AF;hFF;1;1;1;1
-0,00049816;1;0;0;h81AF;hFF;1;1;1;1
-0,00049815;1;0;0;h81AF;hFF;1;1;1;1
-0,00049814;1;0;0;h81AF;hFF;1;1;1;1
-0,0004981299999999999;0;0;0;h81AF;hFF;1;1;1;1
-0,00049812;0;0;0;h81AF;hFF;1;1;1;1
-0,00049811;0;0;0;h81AF;hFF;1;1;1;1
-0,0004981;0;0;0;h81AF;hFF;1;1;1;1
