Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00049971;0;0;1;1;h81AE;h26;0;1;1;1
-0,0004996999999999999;1;0;1;1;h81AE;h26;0;1;1;1
-0,00049969;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049968;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049967;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049966;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049965;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049964;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049963;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049962;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049961;1;1;1;1;h81AE;h26;0;0;1;1
-0,0004996;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049959;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049958;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049957;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049956;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049955;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049954;0;1;0;1;h81AE;h26;0;0;1;1
-0,00049953;1;1;0;1;h81AE;h26;0;0;1;1
-0,00049952;1;1;0;1;h81AE;h26;0;0;1;1
-0,00049951;1;1;0;1;h81AE;h26;0;0;1;1
-0,0004995000000000001;1;1;0;1;h81AE;h26;1;0;1;1
-0,00049949;0;1;0;1;h81AE;h26;1;0;1;1
-0,00049948;0;1;0;1;h81AE;h26;1;1;1;1
-0,00049947;0;1;0;1;h81AE;hD6;1;1;1;1
-0,00049946;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049945;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049944;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049943;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049942;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049941;0;0;0;1;h81AF;hF7;1;1;1;1
-0,0004994;0;0;0;1;h81AF;hF7;1;1;1;1
-0,0004993899999999999;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049938;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049937;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049936;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049935;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049934;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049933;0;0;1;1;h81AF;hF7;1;1;1;1
-0,00049932;0;0;1;1;h81AF;hF7;1;1;1;1
-0,00049931;0;0;1;1;h81AF;hF7;1;1;1;1
-0,0004993;0;0;1;1;h1E86;hF7;1;1;1;1
-0,00049929;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,0004992799999999999;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049927;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049926;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049925;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049924;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049923;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049922;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049921;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,0004992;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,0004991900000000001;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049918;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049917;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049916;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049915;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049914;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049913;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049912;1;0;0;1;h1ED6;hF7;1;1;1;1
-0,00049911;1;0;0;1;h1ED6;hF7;1;1;1;1
-0,0004991;1;0;0;1;h1ED6;hF7;1;1;1;1
-0,00049909;1;0;0;1;h1ED6;hF7;1;1;1;1
-0,0004990800000000001;0;0;0;1;h1ED6;hF7;0;1;1;1
-0,00049907;0;0;0;1;h1ED6;hF7;0;1;1;1
-0,00049906;0;0;0;1;h1ED6;hF7;0;1;1;1
-0,00049905;0;0;0;1;h1ED6;hF7;0;1;1;1
-0,00049904;0;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049903;1;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049902;1;0;1;1;h1ED6;hDE;0;1;1;1
-0,00049901;1;0;1;1;h1ED6;hFF;0;1;1;1
-0,000499;1;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049899;0;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049898;0;0;1;1;h1ED6;hFF;0;1;1;1
-0,0004989699999999999;0;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049896;0;0;1;1;h1ED6;hFF;0;1;1;1
-0,00049895;1;1;1;1;h1ED6;hFF;0;1;1;1
-0,00049894;1;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049893;1;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049892;1;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049891;0;1;1;1;h1ED6;hFF;0;0;1;1
-0,0004989;0;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049889;0;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049888;0;1;1;1;h1ED6;hFF;0;0;1;1
-0,00049887;1;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049886;1;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049885;1;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049884;1;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049883;0;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049882;0;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049881;0;1;0;1;h1ED6;hFF;0;0;1;1
-0,0004988;0;1;0;1;h1ED6;hFF;0;0;1;1
-0,00049879;0;0;0;1;h1ED6;hFF;0;0;1;1
-0,00049878;1;0;0;1;h1ED6;hFF;0;0;1;1
-0,0004987700000000001;1;0;0;1;h1ED6;hFF;0;0;1;1
-0,00049876;1;0;0;1;h1ED6;hFF;0;0;1;1
-0,00049875;1;0;0;1;h1ED6;hFF;1;0;1;1
-0,00049874;0;0;0;1;h1ED6;hFF;1;0;1;1
-0,00049873;0;0;0;1;h1ED6;hFF;1;1;1;1
-0,00049872;0;0;0;1;h1ED6;hFF;1;1;1;1
-0,00049871;0;0;0;1;h1ED7;hFF;1;1;1;1
-0,0004987;1;0;1;1;h1ED7;hFF;1;1;1;1
-0,00049869;1;0;1;1;h1ED7;hFF;1;1;1;1
-0,00049868;1;0;1;1;h1ED7;hFF;1;1;1;1
-0,00049867;1;0;1;1;h1ED7;hFF;1;1;1;1
-0,0004986600000000001;0;0;1;1;h1ED7;hFF;0;1;1;1
-0,00049865;0;0;1;1;h1ED7;hFF;0;1;1;1
-0,00049864;0;0;1;1;h1ED7;hFF;0;1;1;1
-0,00049863;0;0;1;1;h1ED7;hFF;0;1;1;1
-0,00049862;0;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049861;1;1;1;1;h1ED7;hFF;0;1;1;1
-0,0004986;1;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049859;1;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049858;0;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049857;0;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049856;0;1;1;1;h1ED7;hFF;0;1;1;1
-0,0004985499999999999;0;1;1;1;h1ED7;hFF;0;1;1;1
-0,00049854;0;1;0;1;h1ED7;hFF;0;1;1;1
-0,00049853;1;1;0;1;h1ED7;hFF;0;1;1;1
-0,00049852;1;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049851;1;1;0;1;h1ED7;hFF;0;0;1;1
-0,0004985;1;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049849;0;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049848;0;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049847;0;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049846;0;1;0;1;h1ED7;hFF;0;0;1;1
-0,00049845;1;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049844;1;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049843;1;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049842;1;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049841;0;0;0;1;h1ED7;hFF;0;0;1;1
-0,0004984;0;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049839;0;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049838;0;0;0;1;h1ED7;hFF;0;0;1;1
-0,00049837;0;0;1;1;h1ED7;hFF;0;0;1;1
-0,00049836;1;0;1;1;h1ED7;hFF;0;0;1;1
-0,0004983500000000001;1;0;1;1;h1ED7;hFF;0;0;1;1
-0,00049834;1;0;1;1;h1ED7;hFF;0;0;1;1
-0,00049833;0;0;1;1;h1ED7;hFF;1;0;1;1
-0,00049832;0;0;1;1;h1ED7;hFF;1;0;1;1
-0,00049831;0;0;1;1;h1ED7;hFF;1;1;1;1
-0,0004983;0;0;1;1;h06D7;hFF;1;1;1;1
-0,00049829;0;1;1;1;h81AF;hFF;1;1;1;1
-0,00049828;1;1;1;1;h81AF;hFF;1;1;1;1
-0,00049827;1;1;1;1;h81AF;hFF;1;1;1;1
-0,00049826;1;1;1;1;h81AF;hFF;1;1;1;1
-0,00049825;1;1;1;1;h81AF;hFF;1;1;1;1
-0,0004982399999999999;0;1;1;1;h81AF;hFF;0;1;1;1
-0,00049823;0;1;1;1;h81AF;hFF;0;1;1;1
-0,00049822;0;1;1;1;h81AF;hFF;0;1;1;1
-0,00049821;0;1;1;1;h81AF;h75;0;1;1;1
-0,0004982;1;1;0;1;h81AF;h75;0;1;1;1
-0,00049819;1;1;0;1;h81AF;h75;0;1;1;1
-0,00049818;1;1;0;1;h81AF;h75;0;1;1;1
-0,00049817;1;1;0;1;h81AF;h75;0;1;1;1
-0,00049816;0;1;0;1;h81AF;h75;0;1;1;1
-0,00049815;0;1;0;1;h81AF;h75;0;1;1;1
-0,00049814;0;1;0;1;h81AF;h75;0;1;1;1
-0,0004981299999999999;0;1;0;1;h81AF;h75;0;1;1;1
-0,00049812;0;0;0;1;h81AF;h75;0;1;1;1
-0,00049811;1;0;0;1;h81AF;h75;0;0;1;1
-0,0004981;1;0;0;1;h81AF;h75;0;0;1;1
-0,00049809;1;0;0;1;h81AF;h75;0;0;1;1
-0,00049808;1;0;0;1;h81AF;h75;0;0;1;1
